"Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"2/25/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",1,"Winter","unknown","Selasphorus spp.","6361_ALHU"
"5/28/2014","Released","malibu","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","6243_ANHU"
"3/15/2014","Released","Lindsey","Yes","ANHU","Male","adult-like",3,"Spring","nest-related","Non-selasphorus spp.","4903_ANHU"
"3/14/2013","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","4640_ANHU"
"7/3/2002","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","2300_ANHU"
"5/12/2015","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","6419_ALHU"
"4/15/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","70_ANHU"
"7/8/2015","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",1,"Summer","found on the ground","Selasphorus spp.","6476_ALHU"
"11/2/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Fall","unknown","Selasphorus spp.","6535_ALHU"
"4/10/2009","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","3687_ANHU"
"8/8/2016","Released","Lindsey","No","ANHU","Male","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","5692_ANHU"
"5/5/2009","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","3717_ANHU"
"5/10/2006","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","3090_ANHU"
"3/8/2009","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3639_ANHU"
"11/9/2000","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",2,"Fall","window hit","Non-selasphorus spp.","1926_ANHU"
"6/19/2003","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Summer","nest-related","Non-selasphorus spp.","2516_ANHU"
"4/22/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3069_ANHU"
"4/21/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1396_ANHU"
"3/22/1992","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",8,"Spring","unknown","Non-selasphorus spp.","224_ANHU"
"6/22/2016","Died","Santa Barbara","No","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","6888_ANHU"
"4/23/1997","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1217_ANHU"
"10/14/2002","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Fall","caught by domestic animal","Non-selasphorus spp.","2339_ANHU"
